Reservation_ID,Date,Reservation_Time,Party_Size,Service,Source,Status,Booked_At,Lead_Time_Days,Guest_Name,Guest_Email,Guest_Phone,Guest_Notes,Special_Request,Table_ID,Seated_Time,Departed_Time,Turn_Time_Minutes,Wait_Time_Minutes,Server_Assigned
RES-000024,2026-03-01,2026-03-01 17:56:13,3,Dinner,Phone,Completed,2026-02-27 07:56:13,2,Amanda Suzuki,amanda.suzuki@gmail.com,604-539-1620,,,4-TOP-02,2026-03-01 17:56:13,2026-03-01 19:27:13,91,0,Jake T.
RES-000035,2026-03-01,2026-03-01 17:56:45,6,Dinner,Resy,Completed,2026-02-27 08:56:45,2,Tyler Scott,tyler.scott@yahoo.ca,604-279-9465,VIP guest,,6-TOP-02,2026-03-01 17:59:45,2026-03-01 19:57:45,118,3,Maya C.
RES-000043,2026-03-01,2026-03-01 17:57:09,3,Dinner,Resy,Completed,2026-02-28 08:57:09,1,Wei Parker,wei.parker@shaw.ca,604-408-7770,Wine enthusiast,Quiet table please,4-TOP-09,2026-03-01 17:57:09,2026-03-01 19:47:09,110,0,Jake T.
RES-000026,2026-03-01,2026-03-01 17:57:18,4,Dinner,OpenTable,Canceled,2026-02-27 10:57:18,2,Omar Torres,,604-360-9740,,Anniversary dinner — candle on dessert,4-TOP-04,,,,,
RES-000019,2026-03-01,2026-03-01 18:17:11,4,Dinner,OpenTable,No-Show,2026-03-01 14:17:11,0,Andrew Anderson,andrew.anderson@yahoo.ca,604-677-3536,,,4-TOP-01,,,,,
RES-000028,2026-03-01,2026-03-01 18:23:47,4,Dinner,Phone,Late Cancel,2026-02-22 10:23:47,7,Justin Anderson,justin.anderson@icloud.com,604-398-2877,Business dinner,Vegetarian menu requested,4-TOP-03,,,,,
RES-000033,2026-03-01,2026-03-01 18:27:57,4,Dinner,Phone,Completed,2026-03-01 10:27:57,0,Megan Torres,megan.torres@gmail.com,604-828-3717,,Quiet table please,4-TOP-09,2026-03-01 18:27:57,2026-03-01 20:18:57,111,0,Jake T.
RES-000031,2026-03-01,2026-03-01 18:40:53,2,Dinner,Phone,Completed,2026-03-01 11:40:53,0,Priya Johansson,priya.johansson@icloud.com,604-861-2343,,Allergic to shellfish,2-TOP-05,2026-03-01 18:40:53,2026-03-01 20:35:53,115,0,Sarah M.
RES-000042,2026-03-01,2026-03-01 18:42:38,5,Dinner,Resy,Late Cancel,2026-02-27 06:42:38,2,James Phillips,james.phillips@icloud.com,604-870-4365,VIP guest,,6-TOP-02,,,,,
RES-000030,2026-03-01,2026-03-01 18:42:39,1,Dinner,OpenTable,Completed,2026-03-01 08:42:39,0,Mia Morris,mia.morris@icloud.com,604-523-8017,,,2-TOP-03,2026-03-01 18:42:39,2026-03-01 20:11:39,89,0,Maya C.
RES-000037,2026-03-01,2026-03-01 18:54:46,2,Dinner,Phone,Completed,2026-02-28 08:54:46,1,Pierre Wilson,pierre.wilson@outlook.com,604-364-3207,Celebrating birthday,,2-TOP-01,2026-03-01 18:54:46,2026-03-01 20:25:46,91,0,Emma W.
RES-000045,2026-03-01,2026-03-01 19:09:40,1,Dinner,OpenTable,Canceled,2026-02-22 13:09:40,7,Megan Patel,megan.patel@yahoo.ca,604-238-7296,Celebrating birthday,High chair needed,2-TOP-07,,,,,
RES-000027,2026-03-01,2026-03-01 19:10:50,4,Dinner,Resy,Completed,2026-03-01 09:10:50,0,Mei Chen,mei.chen@icloud.com,604-242-1082,Celebrating birthday,Window seat preferred,4-TOP-10,2026-03-01 19:13:50,2026-03-01 20:33:50,80,3,David L.
RES-000039,2026-03-01,2026-03-01 19:15:38,2,Dinner,Resy,Completed,2026-02-28 11:15:38,1,Olivia Anderson,,604-664-2127,VIP guest,Window seat preferred,2-TOP-04,2026-03-01 19:15:38,2026-03-01 20:31:38,76,0,Emma W.
RES-000022,2026-03-01,2026-03-01 19:24:15,5,Dinner,Resy,Completed,2026-02-15 09:24:15,14,Charlotte Scott,,,,Allergic to shellfish,6-TOP-02,2026-03-01 19:32:15,2026-03-01 21:09:15,97,8,Jake T.
RES-000044,2026-03-01,2026-03-01 19:33:16,6,Dinner,Resy,Completed,2026-03-01 17:33:16,0,Lauren Suzuki,lauren.suzuki@shaw.ca,,,Allergic to shellfish,6-TOP-01,2026-03-01 19:33:16,2026-03-01 21:20:16,107,0,Emma W.
RES-000036,2026-03-01,2026-03-01 19:33:56,4,Dinner,Resy,Canceled,2026-03-01 18:33:56,0,Sophia Martin,sophia.martin@outlook.com,604-934-2938,VIP guest,Vegetarian menu requested,4-TOP-04,,,,,
RES-000023,2026-03-01,2026-03-01 19:40:28,3,Dinner,OpenTable,Completed,2026-03-01 18:40:28,0,Kevin Anderson,,604-746-1120,,High chair needed,4-TOP-02,2026-03-01 19:45:28,2026-03-01 21:13:28,88,5,Maya C.
RES-000038,2026-03-01,2026-03-01 19:42:25,4,Dinner,Resy,No-Show,2026-02-27 09:42:25,2,Logan Brown,logan.brown@icloud.com,,,,4-TOP-08,,,,,
RES-000046,2026-03-01,2026-03-01 19:43:18,4,Dinner,Resy,Completed,2026-02-26 09:43:18,3,Soo-Yeon Adams,soo-yeon.adams@shaw.ca,,,,4-TOP-09,2026-03-01 19:43:18,2026-03-01 21:36:18,113,0,Jake T.
RES-000041,2026-03-01,2026-03-01 19:43:26,2,Dinner,OpenTable,Completed,2026-03-01 07:43:26,0,Sakura Mueller,,604-959-2600,,,2-TOP-07,2026-03-01 19:46:26,2026-03-01 21:15:26,89,3,Sarah M.
RES-000040,2026-03-01,2026-03-01 19:43:55,5,Dinner,Phone,Completed,2026-02-28 17:43:55,1,Kenji Yamamoto,kenji.yamamoto@gmail.com,,,Quiet table please,6-TOP-01,2026-03-01 19:48:55,2026-03-01 21:51:55,123,5,Maya C.
RES-000021,2026-03-01,2026-03-01 19:47:25,2,Dinner,OpenTable,Late Cancel,2026-03-01 14:47:25,0,Isabella Martin,,604-686-1144,Business dinner,,2-TOP-02,,,,,
RES-000017,2026-03-01,2026-03-01 19:48:02,2,Dinner,Resy,Completed,2026-02-28 11:48:02,1,Ethan Suzuki,ethan.suzuki@hotmail.com,604-912-5712,VIP guest,Window seat preferred,2-TOP-01,2026-03-01 19:48:02,2026-03-01 21:46:02,118,0,David L.
RES-000018,2026-03-01,2026-03-01 19:51:03,1,Dinner,OpenTable,Completed,2026-02-26 12:51:03,3,Ethan Park,ethan.park@shaw.ca,604-973-9955,,,2-TOP-04,2026-03-01 19:54:03,2026-03-01 21:52:03,118,3,Sarah M.
RES-000029,2026-03-01,2026-03-01 19:55:54,1,Dinner,Phone,Completed,2026-02-28 09:55:54,1,Amanda Hall,amanda.hall@yahoo.ca,604-943-8982,Regular — prefers patio,,2-TOP-06,2026-03-01 20:03:54,2026-03-01 21:33:54,90,8,Sarah M.
RES-000020,2026-03-01,2026-03-01 20:02:03,4,Dinner,Resy,Completed,2026-03-01 08:02:03,0,Priya Patel,,604-425-4012,,Vegetarian menu requested,4-TOP-09,2026-03-01 20:05:03,2026-03-01 21:46:03,101,3,Jake T.
RES-000015,2026-03-01,2026-03-01 20:09:45,2,Dinner,OpenTable,Completed,2026-02-08 10:09:45,21,Tyler Campbell,tyler.campbell@shaw.ca,604-318-6771,Celebrating birthday,Gluten-free needed,2-TOP-08,2026-03-01 20:24:45,2026-03-01 22:24:45,120,15,Maya C.
RES-000034,2026-03-01,2026-03-01 20:18:55,6,Dinner,Phone,Completed,2026-03-01 17:18:55,0,Jin Jackson,jin.jackson@yahoo.ca,604-884-4387,VIP guest,Quiet table please,6-TOP-02,2026-03-01 20:33:55,2026-03-01 22:01:55,88,15,David L.
RES-000016,2026-03-01,2026-03-01 20:22:47,5,Dinner,Resy,Completed,2026-03-01 20:22:47,0,Rachel Wilson,rachel.wilson@gmail.com,604-404-5374,,High chair needed,6-TOP-01,2026-03-01 20:22:47,2026-03-01 21:59:47,97,0,Emma W.
RES-000051,2026-03-02,2026-03-02 11:44:10,2,Lunch,Phone,Completed,2026-03-01 09:44:10,1,Pierre Mueller,,604-952-3187,,High chair needed,2-TOP-05,2026-03-02 11:49:10,2026-03-02 12:54:10,65,5,David L.
RES-000049,2026-03-02,2026-03-02 12:10:56,4,Lunch,Resy,Completed,2026-03-02 11:10:56,0,Jin Baker,,,VIP guest,,4-TOP-06,2026-03-02 12:20:56,2026-03-02 13:37:56,77,10,David L.
RES-000047,2026-03-02,2026-03-02 12:30:45,2,Lunch,OpenTable,Completed,2026-02-23 12:30:45,7,Daniel Morris,,604-459-7302,Business dinner,Anniversary dinner — candle on dessert,2-TOP-05,2026-03-02 12:30:45,2026-03-02 13:50:45,80,0,Maya C.
RES-000050,2026-03-02,2026-03-02 12:34:04,2,Lunch,Resy,Completed,2026-02-28 05:34:04,2,Sarah Watanabe,sarah.watanabe@shaw.ca,604-654-3229,VIP guest,,2-TOP-01,2026-03-02 12:39:04,2026-03-02 13:44:04,65,5,Maya C.
RES-000048,2026-03-02,2026-03-02 12:38:55,2,Lunch,Resy,No-Show,2026-02-16 08:38:55,14,Aiden Brown,,604-504-4446,First time,High chair needed,2-TOP-03,,,,,
RES-000053,2026-03-02,2026-03-02 17:42:25,4,Dinner,Resy,Canceled,2026-02-16 15:42:25,14,Lauren Chen,,604-664-9096,,Anniversary dinner — candle on dessert,4-TOP-02,,,,,
RES-000052,2026-03-02,2026-03-02 18:20:05,2,Dinner,OpenTable,Completed,2026-02-23 09:20:05,7,Ethan Wilson,,,,Quiet table please,2-TOP-04,2026-03-02 18:20:05,2026-03-02 20:19:05,119,0,Jake T.
RES-000054,2026-03-02,2026-03-02 18:22:12,6,Dinner,Walk-In,Completed,2026-02-28 12:22:12,2,Andrew Green,,604-489-4102,,Window seat preferred,6-TOP-02,2026-03-02 18:32:12,2026-03-02 20:07:12,95,10,David L.
RES-000064,2026-03-02,2026-03-02 18:23:10,2,Dinner,Resy,Completed,2026-02-16 16:23:10,14,Lauren Young,lauren.young@hotmail.com,604-517-3151,Business dinner,,2-TOP-06,2026-03-02 18:33:10,2026-03-02 20:20:10,107,10,Jake T.
RES-000055,2026-03-02,2026-03-02 18:30:39,3,Dinner,OpenTable,Completed,2026-03-01 17:30:39,1,Emily Baker,emily.baker@yahoo.ca,,Business dinner,,4-TOP-07,2026-03-02 18:38:39,2026-03-02 20:38:39,120,8,Emma W.
RES-000058,2026-03-02,2026-03-02 18:36:07,2,Dinner,Website,Completed,2026-02-16 14:36:07,14,Wei Cho,wei.cho@yahoo.ca,604-979-5321,VIP guest,,2-TOP-06,2026-03-02 18:36:07,2026-03-02 20:22:07,106,0,Jake T.
RES-000062,2026-03-02,2026-03-02 19:26:40,6,Dinner,Resy,No-Show,2026-02-16 09:26:40,14,Ingrid Walker,,,,,6-TOP-01,,,,,
RES-000065,2026-03-02,2026-03-02 19:35:28,5,Dinner,Resy,Completed,2026-03-02 07:35:28,0,Hans Dubois,hans.dubois@outlook.com,604-636-2522,Wine enthusiast,,6-TOP-01,2026-03-02 19:50:28,2026-03-02 22:05:28,135,15,Jake T.
RES-000060,2026-03-02,2026-03-02 19:36:07,5,Dinner,Walk-In,Canceled,2026-03-02 15:36:07,0,Melissa Ivanov,melissa.ivanov@icloud.com,604-776-4479,Wine enthusiast,Vegetarian menu requested,6-TOP-01,,,,,
RES-000066,2026-03-02,2026-03-02 19:36:33,4,Dinner,Resy,Completed,2026-03-02 07:36:33,0,Sakura Young,sakura.young@outlook.com,604-507-5073,VIP guest,,4-TOP-09,2026-03-02 19:41:33,2026-03-02 21:31:33,110,5,Maya C.
RES-000057,2026-03-02,2026-03-02 19:39:39,2,Dinner,Website,Completed,2026-03-02 11:39:39,0,Jessica Evans,jessica.evans@outlook.com,604-547-8669,,,2-TOP-03,2026-03-02 19:47:39,2026-03-02 21:29:39,102,8,Jake T.
RES-000059,2026-03-02,2026-03-02 19:52:54,6,Dinner,Resy,Completed,2026-03-02 19:52:54,0,Kayla White,kayla.white@yahoo.ca,604-678-8150,First time,,6-TOP-01,2026-03-02 19:52:54,2026-03-02 22:17:54,145,0,Emma W.
RES-000061,2026-03-02,2026-03-02 19:56:11,2,Dinner,OpenTable,Completed,2026-03-01 14:56:11,1,Sarah Hall,sarah.hall@shaw.ca,604-582-2737,,,2-TOP-06,2026-03-02 19:56:11,2026-03-02 21:56:11,120,0,Emma W.
RES-000056,2026-03-02,2026-03-02 20:02:16,1,Dinner,Resy,No-Show,2026-02-23 13:02:16,7,Priya Turner,,,,,2-TOP-01,,,,,
RES-000063,2026-03-02,2026-03-02 20:14:18,2,Dinner,OpenTable,No-Show,2026-02-16 14:14:18,14,Megan Torres,megan.torres@outlook.com,,,,2-TOP-07,,,,,
RES-000073,2026-03-03,2026-03-03 11:33:15,3,Lunch,Phone,Completed,2026-03-03 10:33:15,0,Nathan Park,,604-480-9927,Wine enthusiast,,4-TOP-08,2026-03-03 11:33:15,2026-03-03 12:49:15,76,0,Sarah M.
RES-000071,2026-03-03,2026-03-03 11:44:02,4,Lunch,Resy,Completed,2026-02-28 03:44:02,3,Samantha Watanabe,samantha.watanabe@gmail.com,604-953-6499,First time,Anniversary dinner — candle on dessert,4-TOP-08,2026-03-03 11:44:02,2026-03-03 12:56:02,72,0,Sarah M.
RES-000068,2026-03-03,2026-03-03 12:00:04,3,Lunch,OpenTable,Completed,2026-03-02 06:00:04,1,Carlos Torres,carlos.torres@shaw.ca,604-908-5395,,,4-TOP-08,2026-03-03 12:10:04,2026-03-03 13:16:04,66,10,Sarah M.
RES-000067,2026-03-03,2026-03-03 12:07:12,2,Lunch,Resy,Completed,2026-03-03 06:07:12,0,Rachel Flores,rachel.flores@outlook.com,,,,2-TOP-04,2026-03-03 12:22:12,2026-03-03 13:35:12,73,15,Sarah M.
RES-000072,2026-03-03,2026-03-03 12:54:31,2,Lunch,Resy,Completed,2026-03-03 07:54:31,0,Sakura Thompson,sakura.thompson@icloud.com,604-221-3423,,High chair needed,2-TOP-07,2026-03-03 13:09:31,2026-03-03 14:15:31,66,15,Emma W.
RES-000069,2026-03-03,2026-03-03 13:00:38,2,Lunch,OpenTable,Late Cancel,2026-02-24 04:00:38,7,Sakura Suzuki,sakura.suzuki@shaw.ca,604-522-2137,,,2-TOP-03,,,,,
RES-000074,2026-03-03,2026-03-03 13:23:21,2,Lunch,Resy,Completed,2026-03-03 13:23:21,0,Yuki Ivanov,yuki.ivanov@hotmail.com,604-780-6685,,,2-TOP-05,2026-03-03 13:26:21,2026-03-03 14:42:21,76,3,David L.
RES-000070,2026-03-03,2026-03-03 13:25:29,2,Lunch,OpenTable,Completed,2026-03-03 11:25:29,0,Olivia Rossi,olivia.rossi@shaw.ca,604-209-6769,Celebrating birthday,,2-TOP-08,2026-03-03 13:28:29,2026-03-03 14:30:29,62,3,Emma W.
RES-000092,2026-03-03,2026-03-03 17:35:14,4,Dinner,OpenTable,Completed,2026-03-03 12:35:14,0,Chris Costa,,,Wine enthusiast,Gluten-free needed,4-TOP-02,2026-03-03 17:35:14,2026-03-03 19:23:14,108,0,Sarah M.
RES-000080,2026-03-03,2026-03-03 17:43:48,5,Dinner,OpenTable,Completed,2026-03-03 05:43:48,0,Dmitri Ivanov,dmitri.ivanov@gmail.com,604-865-2753,Celebrating birthday,,6-TOP-02,2026-03-03 17:53:48,2026-03-03 20:09:48,136,10,Sarah M.
RES-000081,2026-03-03,2026-03-03 17:45:07,4,Dinner,Phone,Completed,2026-03-03 14:45:07,0,Justin Carter,,604-428-3535,Business dinner,,4-TOP-05,2026-03-03 17:53:07,2026-03-03 19:08:07,75,8,Emma W.
RES-000088,2026-03-03,2026-03-03 17:56:57,5,Dinner,Phone,Completed,2026-02-17 16:56:57,14,Ashley Parker,ashley.parker@gmail.com,604-274-8234,Celebrating birthday,High chair needed,6-TOP-02,2026-03-03 18:06:57,2026-03-03 19:52:57,106,10,Jake T.
RES-000087,2026-03-03,2026-03-03 18:03:44,2,Dinner,Website,Completed,2026-03-02 12:03:44,1,Chris Kim,chris.kim@shaw.ca,604-298-2740,Business dinner,Quiet table please,2-TOP-08,2026-03-03 18:03:44,2026-03-03 19:32:44,89,0,David L.
RES-000090,2026-03-03,2026-03-03 18:22:02,4,Dinner,Walk-In,Completed,2026-03-03 10:22:02,0,Amanda Allen,amanda.allen@shaw.ca,,First time,,4-TOP-09,2026-03-03 18:32:02,2026-03-03 20:23:02,111,10,Emma W.
RES-000083,2026-03-03,2026-03-03 18:46:25,3,Dinner,OpenTable,Completed,2026-02-28 14:46:25,3,Sven Petrov,sven.petrov@gmail.com,604-851-1354,,Anniversary dinner — candle on dessert,4-TOP-03,2026-03-03 18:51:25,2026-03-03 20:16:25,85,5,David L.
RES-000077,2026-03-03,2026-03-03 19:00:15,4,Dinner,Resy,Completed,2026-02-17 18:00:15,14,Olivia Park,olivia.park@yahoo.ca,604-646-6283,,High chair needed,4-TOP-10,2026-03-03 19:08:15,2026-03-03 20:39:15,91,8,David L.
RES-000078,2026-03-03,2026-03-03 19:16:35,2,Dinner,OpenTable,Completed,2026-02-24 12:16:35,7,Melissa Scott,,604-298-3270,Regular — prefers patio,Allergic to shellfish,2-TOP-08,2026-03-03 19:31:35,2026-03-03 21:31:35,120,15,Sarah M.
RES-000076,2026-03-03,2026-03-03 19:20:22,4,Dinner,OpenTable,Completed,2026-03-03 15:20:22,0,Nicole Brown,,604-950-4223,Celebrating birthday,,4-TOP-07,2026-03-03 19:20:22,2026-03-03 20:37:22,77,0,Emma W.
RES-000079,2026-03-03,2026-03-03 19:29:22,3,Dinner,Resy,Completed,2026-03-03 11:29:22,0,Sarah Johansson,sarah.johansson@outlook.com,604-509-4975,Wine enthusiast,,4-TOP-10,2026-03-03 19:29:22,2026-03-03 21:18:22,109,0,Sarah M.
RES-000075,2026-03-03,2026-03-03 19:29:43,2,Dinner,Website,Completed,2026-03-02 15:29:43,1,Jin Hall,jin.hall@yahoo.ca,604-241-4560,Celebrating birthday,,2-TOP-05,2026-03-03 19:29:43,2026-03-03 21:03:43,94,0,Jake T.
RES-000084,2026-03-03,2026-03-03 19:31:30,2,Dinner,Phone,Completed,2026-03-03 09:31:30,0,Sophia Torres,sophia.torres@gmail.com,604-635-3427,,Quiet table please,2-TOP-01,2026-03-03 19:31:30,2026-03-03 21:10:30,99,0,Jake T.
RES-000091,2026-03-03,2026-03-03 19:38:22,2,Dinner,Walk-In,Completed,2026-02-28 12:38:22,3,Hans Collins,hans.collins@gmail.com,604-330-9474,,,2-TOP-05,2026-03-03 19:41:22,2026-03-03 20:59:22,78,3,Sarah M.
RES-000086,2026-03-03,2026-03-03 19:41:04,2,Dinner,OpenTable,Completed,2026-03-02 12:41:04,1,Stephanie Robinson,,604-603-2117,VIP guest,Quiet table please,2-TOP-08,2026-03-03 19:46:04,2026-03-03 21:12:04,86,5,Sarah M.
RES-000085,2026-03-03,2026-03-03 19:58:19,1,Dinner,Phone,Completed,2026-03-03 14:58:19,0,Stephanie Nelson,,604-209-3593,Wine enthusiast,Allergic to shellfish,2-TOP-06,2026-03-03 19:58:19,2026-03-03 21:58:19,120,0,Emma W.
RES-000082,2026-03-03,2026-03-03 20:09:44,2,Dinner,OpenTable,Canceled,2026-02-26 12:09:44,5,Kevin Clark,kevin.clark@hotmail.com,604-717-8271,,,2-TOP-07,,,,,
RES-000089,2026-03-03,2026-03-03 20:28:28,2,Dinner,Website,Completed,2026-03-03 16:28:28,0,Jin Adams,jin.adams@outlook.com,604-365-8111,,Gluten-free needed,2-TOP-04,2026-03-03 20:28:28,2026-03-03 22:25:28,117,0,Jake T.
RES-000099,2026-03-04,2026-03-04 11:42:03,2,Lunch,Resy,Completed,2026-03-02 06:42:03,2,Amanda Robinson,amanda.robinson@gmail.com,604-235-2967,,,2-TOP-05,2026-03-04 11:45:03,2026-03-04 13:09:03,84,3,David L.
RES-000096,2026-03-04,2026-03-04 11:44:02,2,Lunch,OpenTable,Completed,2026-03-03 23:44:02,0,Aiden Ivanov,aiden.ivanov@outlook.com,,Regular — prefers patio,Quiet table please,2-TOP-05,2026-03-04 11:44:02,2026-03-04 12:59:02,75,0,David L.
RES-000100,2026-03-04,2026-03-04 11:45:58,4,Lunch,Website,Completed,2026-02-27 04:45:58,5,Tyler Chen,tyler.chen@shaw.ca,604-793-5475,,Anniversary dinner — candle on dessert,4-TOP-05,2026-03-04 11:50:58,2026-03-04 12:47:58,57,5,David L.
RES-000093,2026-03-04,2026-03-04 11:49:55,2,Lunch,OpenTable,Completed,2026-03-03 05:49:55,1,Michael Campbell,,604-885-7798,,,2-TOP-02,2026-03-04 11:54:55,2026-03-04 12:55:55,61,5,David L.
RES-000101,2026-03-04,2026-03-04 11:57:04,2,Lunch,OpenTable,No-Show,2026-03-04 04:57:04,0,Pierre White,,604-245-2032,,Anniversary dinner — candle on dessert,2-TOP-05,,,,,
RES-000102,2026-03-04,2026-03-04 12:31:12,4,Lunch,OpenTable,Completed,2026-02-27 09:31:12,5,Ingrid Dubois,ingrid.dubois@shaw.ca,604-776-8132,First time,Vegetarian menu requested,4-TOP-09,2026-03-04 12:31:12,2026-03-04 13:53:12,82,0,Aisha R.
RES-000098,2026-03-04,2026-03-04 12:31:35,4,Lunch,Phone,Completed,2026-02-25 11:31:35,7,Rachel Rossi,rachel.rossi@gmail.com,604-211-5493,,Quiet table please,4-TOP-01,2026-03-04 12:31:35,2026-03-04 13:44:35,73,0,David L.
RES-000097,2026-03-04,2026-03-04 12:42:56,5,Lunch,OpenTable,Completed,2026-03-04 09:42:56,0,Melissa Costa,melissa.costa@hotmail.com,,Regular — prefers patio,Quiet table please,6-TOP-02,2026-03-04 12:57:56,2026-03-04 14:26:56,89,15,Maya C.
RES-000094,2026-03-04,2026-03-04 12:44:31,1,Lunch,Phone,Completed,2026-03-04 10:44:31,0,Carlos Martin,carlos.martin@gmail.com,,,Allergic to shellfish,2-TOP-05,2026-03-04 12:44:31,2026-03-04 13:51:31,67,0,David L.
RES-000095,2026-03-04,2026-03-04 13:16:12,4,Lunch,OpenTable,Late Cancel,2026-02-27 07:16:12,5,Lauren Edwards,lauren.edwards@gmail.com,604-867-9385,,,4-TOP-07,,,,,
RES-000115,2026-03-04,2026-03-04 17:47:04,2,Dinner,Walk-In,Completed,2026-03-04 09:47:04,0,Taylor Park,,604-224-3654,Celebrating birthday,,2-TOP-02,2026-03-04 17:52:04,2026-03-04 19:35:04,103,5,Jake T.
RES-000118,2026-03-04,2026-03-04 18:07:42,2,Dinner,Resy,Completed,2026-03-04 10:07:42,0,Amanda Phillips,amanda.phillips@shaw.ca,604-840-6926,,Window seat preferred,2-TOP-04,2026-03-04 18:07:42,2026-03-04 19:49:42,102,0,Aisha R.
RES-000113,2026-03-04,2026-03-04 18:09:53,1,Dinner,Resy,Completed,2026-03-04 07:09:53,0,Tyler Johansson,tyler.johansson@yahoo.ca,604-548-9083,First time,Vegetarian menu requested,2-TOP-04,2026-03-04 18:17:53,2026-03-04 19:39:53,82,8,Aisha R.
RES-000114,2026-03-04,2026-03-04 18:12:08,2,Dinner,Website,Completed,2026-03-04 11:12:08,0,Wei Mueller,wei.mueller@gmail.com,604-910-7034,VIP guest,Quiet table please,2-TOP-02,2026-03-04 18:12:08,2026-03-04 19:54:08,102,0,Maya C.
RES-000103,2026-03-04,2026-03-04 18:43:23,2,Dinner,OpenTable,Completed,2026-03-03 13:43:23,1,Mei Nakamura,mei.nakamura@outlook.com,604-854-6681,,Gluten-free needed,2-TOP-07,2026-03-04 18:43:23,2026-03-04 20:27:23,104,0,Jake T.
