Receipt_ID,Sequence_Number,Creation_Date,Finalized_Date,Status,Type,Void_Status,Table_ID,Table_Name,Floor_ID,Floor_Name,Course_Number,User_ID,Username,Customer_ID,Customer_Name,Customer_Email,Number_of_Seats,Net_Total,Taxes,Total,Tip,Extra,Parent_ID,Has_Children,Delivery_Date
R000011.01,11,2026-03-01 13:25:00,2026-03-01 14:39:00,Paid,Dine-In,,T-22,Bar 2,F-003,Bar,,U-1005,Dylan R.,,,,2,68.00,GST: $3.40,75.00,13.60,,,False,
R000012.01,12,2026-03-01 13:03:00,2026-03-01 14:03:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1005,Dylan R.,C-0033,Jacques Williams,jacques.williams85@gmail.com,2,91.00,GST: $4.55,96.75,18.20,,,False,
R000013.01,13,2026-03-01 12:41:00,2026-03-01 13:23:00,Paid,Dine-In,,T-22,Bar 2,F-003,Bar,,U-1004,Priya S.,C-0016,Lisa Silva,lisa.silva63@gmail.com,2,42.00,GST: $2.10,44.10,8.40,,,False,
R000014.01,14,2026-03-01 13:21:00,2026-03-01 14:44:00,Paid,Dine-In,,T-19,Patio 5,F-002,Patio,,U-1005,Dylan R.,C-0054,Patrick Nelson,patrick.nelson63@outlook.com,2,83.00,GST: $4.15,87.15,16.60,,,False,
R000015.01,15,2026-03-01 13:03:00,2026-03-01 14:12:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1004,Priya S.,,,,2,87.00,GST: $4.35,91.35,21.75,,,False,
R000016.01,16,2026-03-01 13:19:00,2026-03-01 14:37:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1001,Sarah M.,,,,2,105.00,GST: $5.25,112.65,23.10,,,False,
R000017.01,17,2026-03-01 12:15:00,2026-03-01 13:55:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1004,Priya S.,,,,4,188.00,GST: $9.40,198.60,37.60,,,False,
R000018.01,18,2026-03-01 12:56:00,2026-03-01 13:41:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1006,Olivia C.,C-0105,Jessica Tanaka,jessica.tanaka78@icloud.com,4,175.00,GST: $8.75,186.15,35.00,,,False,
R000019.01,19,2026-03-01 12:35:00,2026-03-01 13:21:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1001,Sarah M.,C-0037,Marco Kim,marco.kim56@outlook.com,2,90.00,GST: $4.50,94.50,22.50,,,False,
R000020.01,20,2026-03-01 13:20:00,2026-03-01 14:00:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1001,Sarah M.,C-0090,Nadia Andersen,nadia.andersen40@hotmail.com,2,100.00,GST: $5.00,107.40,18.00,,,False,
R000021.01,21,2026-03-01 12:15:00,2026-03-01 13:08:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1006,Olivia C.,,,,2,58.50,GST: $2.93,62.63,8.78,,,False,
R000022.01,22,2026-03-01 12:59:00,2026-03-01 14:10:00,Paid,Dine-In,,T-19,Patio 5,F-002,Patio,,U-1006,Olivia C.,C-0003,Felix Silva,felix.silva76@yahoo.ca,2,121.00,GST: $6.05,127.05,18.15,,,False,
R000023.01,23,2026-03-01 13:29:00,2026-03-01 14:40:00,Paid,Dine-In,,T-17,Patio 3,F-002,Patio,,U-1001,Sarah M.,,,,4,220.00,GST: $11.00,235.80,39.60,,,False,
R000024.01,24,2026-03-01 11:33:00,2026-03-01 13:02:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1002,James L.,C-0105,Jessica Tanaka,jessica.tanaka78@icloud.com,2,109.00,GST: $5.45,114.45,21.80,,,False,
R000025.01,25,2026-03-01 13:15:00,2026-03-01 14:08:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1001,Sarah M.,C-0078,Lauren Lewis,lauren.lewis11@outlook.com,2,81.00,GST: $4.05,85.05,14.58,,,False,
R000026.01,26,2026-03-01 12:48:00,2026-03-01 14:04:00,Paid,Dine-In,,T-09,Table 9,F-001,Main Dining,,U-1002,James L.,C-0159,Priya Robinson,priya.robinson79@gmail.com,2,129.00,GST: $6.45,137.85,32.25,,,False,
R000027.01,27,2026-03-01 11:41:00,2026-03-01 12:06:00,Paid,Takeout,,T-16,Patio 2,F-002,Patio,,U-1002,James L.,,,,3,86.00,GST: $4.30,90.30,12.90,,,False,
R000028.01,28,2026-03-01 13:02:00,2026-03-01 13:32:00,Paid,Takeout,,T-07,Table 7,F-001,Main Dining,,U-1001,Sarah M.,C-0028,Lauren Hernandez,lauren.hernandez21@gmail.com,2,116.00,GST: $5.80,121.80,0.00,,,False,
R000029.01,29,2026-03-01 12:50:00,2026-03-01 13:47:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1003,Mika T.,,,,3,166.00,GST: $8.30,174.30,29.88,,,False,
R000030.01,30,2026-03-01 11:44:00,2026-03-01 12:32:00,Paid,Dine-In,,T-23,Bar 3,F-003,Bar,,U-1005,Dylan R.,,,,2,65.00,GST: $3.25,68.25,14.30,,,False,
R000031.01,31,2026-03-01 11:41:00,2026-03-01 13:10:00,Paid,Dine-In,,T-11,Table 11,F-001,Main Dining,,U-1004,Priya S.,,,,2,113.00,GST: $5.65,122.25,24.86,,,False,
R000032.01,32,2026-03-01 11:58:00,2026-03-01 12:56:00,Paid,Dine-In,,T-05,Table 5,F-001,Main Dining,,U-1005,Dylan R.,,,,4,134.00,GST: $6.70,143.10,24.12,,,False,
R000033.01,33,2026-03-01 13:30:00,2026-03-01 15:06:00,Paid,Dine-In,,T-16,Patio 2,F-002,Patio,,U-1006,Olivia C.,,,,2,107.80,GST: $5.39,114.39,19.40,,,False,
R000034.01,34,2026-03-01 11:51:00,2026-03-01 12:59:00,Paid,Dine-In,,T-11,Table 11,F-001,Main Dining,,U-1004,Priya S.,C-0049,Matthew Nakamura,matthew.nakamura12@outlook.com,6,244.00,GST: $12.20,259.80,53.68,,,False,
R000035.01,35,2026-03-01 12:37:00,2026-03-01 13:57:00,Paid,Dine-In,,T-21,Bar 1,F-003,Bar,,U-1006,Olivia C.,,,,2,103.20,GST: $5.16,109.56,25.80,,,False,
R000036.01,36,2026-03-01 12:13:00,2026-03-01 13:30:00,Paid,Dine-In,,T-18,Patio 4,F-002,Patio,,U-1006,Olivia C.,,,,2,104.00,GST: $5.20,109.20,20.80,,,False,
R000037.01,37,2026-03-01 11:46:00,2026-03-01 12:13:00,Paid,Takeout,,T-06,Table 6,F-001,Main Dining,,U-1002,James L.,,,,4,118.00,GST: $5.90,128.70,0.00,,,False,
R000038.01,38,2026-03-01 13:21:00,2026-03-01 14:10:00,Paid,Dine-In,,T-18,Patio 4,F-002,Patio,,U-1006,Olivia C.,C-0159,Priya Robinson,priya.robinson79@gmail.com,2,52.70,GST: $2.64,56.53,9.49,,,False,
R000039.01,39,2026-03-01 12:54:00,2026-03-01 13:50:00,Paid,Dine-In,,T-02,Table 2,F-001,Main Dining,,U-1006,Olivia C.,,,,4,145.00,GST: $7.25,153.45,26.10,,,False,
R000040.01,40,2026-03-01 12:38:00,2026-03-01 12:57:00,Paid,Takeout,,T-21,Bar 1,F-003,Bar,,U-1003,Mika T.,C-0031,Ava Wilson,ava.wilson10@hotmail.com,2,91.00,GST: $4.55,97.95,0.00,,,False,
R000041.01,41,2026-03-01 12:10:00,2026-03-01 13:42:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1001,Sarah M.,,,,2,56.00,GST: $2.80,60.00,11.20,,,False,
R000042.01,42,2026-03-01 12:39:00,2026-03-01 13:43:00,Paid,Dine-In,,T-19,Patio 5,F-002,Patio,,U-1001,Sarah M.,,,,2,109.00,GST: $5.45,115.65,19.62,,,False,
R000043.01,43,2026-03-01 12:15:00,2026-03-01 13:31:00,Paid,Dine-In,,T-17,Patio 3,F-002,Patio,,U-1002,James L.,,,,2,87.00,GST: $4.35,91.35,17.40,,,False,
R000044.01,44,2026-03-01 13:21:00,2026-03-01 14:24:00,Paid,Dine-In,,T-03,Table 3,F-001,Main Dining,,U-1005,Dylan R.,,,,2,61.00,GST: $3.05,65.25,12.20,,,False,
R000045.01,45,2026-03-01 12:18:00,2026-03-01 13:53:00,Paid,Dine-In,,T-14,Table 14,F-001,Main Dining,,U-1004,Priya S.,,,,2,60.00,GST: $3.00,63.00,9.00,,,False,
R000046.01,46,2026-03-01 12:21:00,2026-03-01 13:59:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1002,James L.,C-0131,Liam Johansson,liam.johansson59@yahoo.ca,4,203.00,GST: $10.15,216.75,40.60,,,False,
R000047.01,47,2026-03-01 13:16:00,2026-03-01 14:39:00,Paid,Dine-In,,T-08,Table 8,F-001,Main Dining,,U-1003,Mika T.,C-0052,Ravi Singh,ravi.singh59@outlook.com,2,53.00,GST: $2.65,55.65,9.54,,,False,
R000048.01,48,2026-03-01 11:31:00,2026-03-01 12:36:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1004,Priya S.,C-0003,Felix Silva,felix.silva76@yahoo.ca,4,142.00,GST: $7.10,152.70,28.40,,,False,
R000049.01,49,2026-03-01 13:00:00,2026-03-01 14:08:00,Paid,Dine-In,,T-03,Table 3,F-001,Main Dining,,U-1002,James L.,C-0075,Greta Turner,greta.turner30@yahoo.ca,2,123.00,GST: $6.15,131.55,27.06,,,False,
R000050.01,50,2026-03-01 12:14:00,2026-03-01 13:28:00,Paid,Dine-In,,T-09,Table 9,F-001,Main Dining,,U-1001,Sarah M.,C-0035,Rebecca Singh,rebecca.singh36@gmail.com,2,40.00,GST: $2.00,43.20,8.00,,,False,
R000051.01,51,2026-03-01 12:51:00,2026-03-01 14:01:00,Paid,Dine-In,,T-07,Table 7,F-001,Main Dining,,U-1002,James L.,C-0029,Mila Gonzalez,mila.gonzalez75@hotmail.com,2,73.00,GST: $3.65,76.65,10.95,,,False,
R000052.01,52,2026-03-01 20:32:00,2026-03-01 21:58:00,Paid,Dine-In,,T-13,Table 13,F-001,Main Dining,,U-1001,Sarah M.,,,,5,273.00,GST: $13.65,289.35,49.14,,,False,
R000053.01,53,2026-03-01 19:51:00,2026-03-01 21:04:00,Paid,Dine-In,,T-13,Table 13,F-001,Main Dining,,U-1006,Olivia C.,,,,2,161.00,GST: $8.05,169.05,28.98,,,False,
R000054.01,54,2026-03-01 18:33:00,2026-03-01 19:41:00,Paid,Dine-In,,T-18,Patio 4,F-002,Patio,,U-1002,James L.,,,,2,104.00,GST: $5.20,110.80,18.72,,,False,
R000055.01,55,2026-03-01 19:42:00,2026-03-01 20:57:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1003,Mika T.,,,,4,224.00,GST: $11.20,236.90,44.80,,,False,
R000056.01,56,2026-03-01 18:52:00,2026-03-01 20:16:00,Paid,Dine-In,,T-08,Table 8,F-001,Main Dining,,U-1003,Mika T.,,,,2,130.00,GST: $6.50,136.50,23.40,,,False,
R000057.01,57,2026-03-01 20:19:00,2026-03-01 21:25:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1001,Sarah M.,C-0070,Justin Rossi,justin.rossi44@yahoo.ca,4,236.00,GST: $11.80,253.00,59.00,,,False,
R000058.01,58,2026-03-01 20:45:00,2026-03-01 22:10:00,Paid,Dine-In,,T-05,Table 5,F-001,Main Dining,,U-1001,Sarah M.,C-0007,Laura Roberts,laura.roberts21@yahoo.ca,4,246.00,GST: $12.30,260.80,49.20,,,False,
R000059.01,59,2026-03-01 17:51:00,2026-03-01 19:27:00,Paid,Dine-In,,T-03,Table 3,F-001,Main Dining,,U-1004,Priya S.,,,,2,122.10,GST: $6.11,131.51,18.31,,,False,
R000060.01,60,2026-03-01 17:44:00,2026-03-01 18:57:00,Paid,Dine-In,,T-21,Bar 1,F-003,Bar,,U-1002,James L.,C-0038,Daniel Morris,daniel.morris86@gmail.com,2,77.00,GST: $3.85,80.85,15.40,,,False,
R000061.01,61,2026-03-01 20:11:00,2026-03-01 21:12:00,Paid,Dine-In,,T-20,Patio 6,F-002,Patio,,U-1005,Dylan R.,,,,2,136.10,GST: $6.80,144.90,27.22,,,False,
R000062.01,62,2026-03-01 19:52:00,2026-03-01 20:39:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1005,Dylan R.,C-0081,Yuki Bui,yuki.bui38@gmail.com,2,153.00,GST: $7.65,162.25,33.66,,,False,
R000063.01,63,2026-03-01 17:56:00,2026-03-01 19:34:00,Paid,Dine-In,,T-22,Bar 2,F-003,Bar,,U-1001,Sarah M.,C-0012,Brandon Larsen,brandon.larsen15@outlook.com,2,177.00,GST: $8.85,191.35,38.94,,,False,
R000064.01,64,2026-03-01 19:29:00,2026-03-01 20:53:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1006,Olivia C.,,,,2,86.00,GST: $4.30,91.30,15.48,,,False,
R000065.01,65,2026-03-01 17:59:00,2026-03-01 19:04:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1005,Dylan R.,,,,2,134.00,GST: $6.70,140.70,26.80,,,False,
R000066.01,66,2026-03-01 19:08:00,2026-03-01 20:42:00,Paid,Dine-In,,T-07,Table 7,F-001,Main Dining,,U-1004,Priya S.,C-0143,Hans Garcia,hans.garcia40@icloud.com,2,118.40,GST: $5.92,126.02,23.68,,,False,
R000067.01,67,2026-03-01 17:52:00,2026-03-01 19:24:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1005,Dylan R.,,,,3,190.00,GST: $9.50,205.60,38.00,,,False,
R000068.01,68,2026-03-01 20:35:00,2026-03-01 22:14:00,Paid,Dine-In,,T-14,Table 14,F-001,Main Dining,,U-1002,James L.,,,,4,306.30,GST: $15.32,331.01,61.26,,,False,
R000069.01,69,2026-03-01 18:25:00,2026-03-01 19:58:00,Paid,Dine-In,,T-06,Table 6,F-001,Main Dining,,U-1001,Sarah M.,C-0111,David Petrov,david.petrov83@gmail.com,4,317.00,GST: $15.85,339.45,63.40,,,False,
R000070.01,70,2026-03-01 19:19:00,2026-03-01 20:33:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1005,Dylan R.,C-0052,Ravi Singh,ravi.singh59@outlook.com,3,232.00,GST: $11.60,250.40,34.80,,,False,
R000071.01,71,2026-03-01 20:34:00,2026-03-01 21:14:00,Paid,Dine-In,,T-16,Patio 2,F-002,Patio,,U-1001,Sarah M.,,,,3,228.00,GST: $11.40,241.00,45.60,,,False,
R000072.01,72,2026-03-01 17:34:00,2026-03-01 18:34:00,Paid,Dine-In,,T-07,Table 7,F-001,Main Dining,,U-1003,Mika T.,C-0024,Claire Bui,claire.bui36@icloud.com,2,128.00,GST: $6.40,136.20,28.16,,,False,
R000073.01,73,2026-03-01 18:58:00,2026-03-01 20:07:00,Paid,Dine-In,,T-17,Patio 3,F-002,Patio,,U-1003,Mika T.,C-0096,Joel Lewis,joel.lewis65@hotmail.com,4,365.00,GST: $18.25,384.75,54.75,,,False,
R000074.01,74,2026-03-01 18:54:00,2026-03-01 20:10:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1005,Dylan R.,,,,4,281.40,GST: $14.07,300.87,56.28,,,False,
R000075.01,75,2026-03-01 19:05:00,2026-03-01 19:59:00,Paid,Dine-In,,T-21,Bar 1,F-003,Bar,,U-1006,Olivia C.,,,,2,177.00,GST: $8.85,192.25,38.94,,,False,
R000076.01,76,2026-03-01 19:18:00,2026-03-01 20:24:00,Paid,Dine-In,,T-23,Bar 3,F-003,Bar,,U-1002,James L.,C-0021,Sarah Collins,sarah.collins36@icloud.com,2,159.00,GST: $7.95,171.75,31.80,,,False,
R000077.01,77,2026-03-01 20:30:00,2026-03-01 21:21:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1005,Dylan R.,C-0093,Keith Weber,keith.weber93@yahoo.ca,3,200.00,GST: $10.00,214.00,30.00,,,False,
R000078.01,78,2026-03-01 20:19:00,2026-03-01 21:33:00,Paid,Dine-In,,T-05,Table 5,F-001,Main Dining,,U-1005,Dylan R.,C-0020,Amanda Stewart,amanda.stewart76@outlook.com,2,203.00,GST: $10.15,217.65,36.54,,,False,
R000079.01,79,2026-03-01 19:17:00,2026-03-01 20:16:00,Paid,Dine-In,,T-22,Bar 2,F-003,Bar,,U-1005,Dylan R.,,,,2,132.00,GST: $6.60,140.20,26.40,,,False,
R000080.01,80,2026-03-01 19:26:00,2026-03-01 20:59:00,Paid,Dine-In,,T-11,Table 11,F-001,Main Dining,,U-1004,Priya S.,C-0132,Elena Eriksen,elena.eriksen21@hotmail.com,2,185.00,GST: $9.25,199.55,40.70,,,False,
R000081.01,81,2026-03-01 19:58:00,2026-03-01 21:29:00,Paid,Dine-In,,T-19,Patio 5,F-002,Patio,,U-1001,Sarah M.,,,,2,147.00,GST: $7.35,156.35,26.46,,,False,
R000082.01,82,2026-03-01 18:35:00,2026-03-01 19:50:00,Paid,Dine-In,,T-08,Table 8,F-001,Main Dining,,U-1004,Priya S.,C-0101,Michelle Nelson,michelle.nelson22@outlook.com,2,156.00,GST: $7.80,167.50,23.40,,,False,
R000083.01,83,2026-03-01 17:42:00,2026-03-01 18:39:00,Paid,Dine-In,,T-03,Table 3,F-001,Main Dining,,U-1002,James L.,C-0044,Rebecca Brown,rebecca.brown67@hotmail.com,4,231.10,GST: $11.55,246.15,57.77,,,False,
R000084.01,84,2026-03-01 20:44:00,2026-03-01 21:47:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1003,Mika T.,,,,2,161.00,GST: $8.05,170.75,24.15,,,False,
R000085.01,85,2026-03-01 20:31:00,2026-03-01 21:13:00,Paid,Dine-In,,T-11,Table 11,F-001,Main Dining,,U-1001,Sarah M.,,,,2,134.00,GST: $6.70,145.20,26.80,,,False,
R000086.01,86,2026-03-01 19:36:00,2026-03-01 20:23:00,Voided,Dine-In,Voided,T-22,Bar 2,F-003,Bar,,U-1006,Olivia C.,,,,2,136.00,GST: $6.80,147.50,0.00,,,False,
R000087.01,87,2026-03-01 19:13:00,2026-03-01 20:49:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1004,Priya S.,,,,2,198.00,GST: $9.90,213.90,39.60,,,False,
R000088.01,88,2026-03-01 17:35:00,2026-03-01 18:21:00,Paid,Dine-In,,T-20,Patio 6,F-002,Patio,,U-1003,Mika T.,C-0112,Yuki White,yuki.white39@icloud.com,2,137.00,GST: $6.85,145.75,30.14,,,False,
R000089.01,89,2026-03-01 18:12:00,2026-03-01 19:52:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1001,Sarah M.,,,,4,248.00,GST: $12.40,262.10,54.56,,,False,
R000090.01,90,2026-03-01 20:56:00,2026-03-01 22:06:00,Paid,Dine-In,,T-19,Patio 5,F-002,Patio,,U-1004,Priya S.,C-0061,Brian Suzuki,brian.suzuki3@hotmail.com,2,142.00,GST: $7.10,151.00,25.56,,,False,
R000091.01,91,2026-03-01 19:14:00,2026-03-01 19:30:00,Paid,Takeout,,T-18,Patio 4,F-002,Patio,,U-1001,Sarah M.,,,,2,181.00,GST: $9.05,197.85,9.05,,,False,
R000092.01,92,2026-03-01 18:51:00,2026-03-01 19:48:00,Paid,Dine-In,,T-11,Table 11,F-001,Main Dining,,U-1004,Priya S.,C-0136,Ella Baker,ella.baker10@icloud.com,3,269.40,GST: $13.47,290.41,53.88,,,False,
R000093.01,93,2026-03-01 18:57:00,2026-03-01 20:24:00,Voided,Dine-In,Voided,T-20,Patio 6,F-002,Patio,,U-1003,Mika T.,,,,2,95.00,GST: $4.75,99.75,0.00,,,False,
R000094.01,94,2026-03-01 19:01:00,2026-03-01 20:10:00,Paid,Dine-In,,T-01,Table 1,F-001,Main Dining,,U-1006,Olivia C.,,,,4,336.00,GST: $16.80,360.30,67.20,,,False,
R000095.01,95,2026-03-01 20:50:00,2026-03-01 21:19:00,Paid,Takeout,,T-20,Patio 6,F-002,Patio,,U-1006,Olivia C.,,,,2,187.00,GST: $9.35,198.15,0.00,,,False,
R000096.01,96,2026-03-01 20:27:00,2026-03-01 21:46:00,Paid,Dine-In,,T-16,Patio 2,F-002,Patio,,U-1001,Sarah M.,,,,2,156.00,GST: $7.80,166.40,39.00,,,False,
R000097.01,97,2026-03-01 18:19:00,2026-03-01 19:55:00,Paid,Dine-In,,T-04,Table 4,F-001,Main Dining,,U-1002,James L.,,,,2,135.00,GST: $6.75,143.45,24.30,,,False,
R000098.01,98,2026-03-01 18:45:00,2026-03-01 20:06:00,Voided,Dine-In,Voided,T-12,Table 12,F-001,Main Dining,,U-1001,Sarah M.,C-0022,Diego Dubois,diego.dubois25@gmail.com,2,150.40,GST: $7.52,157.92,0.00,,,False,
R000099.01,99,2026-03-01 18:28:00,2026-03-01 19:46:00,Paid,Dine-In,,T-17,Patio 3,F-002,Patio,,U-1002,James L.,,,,4,318.00,GST: $15.90,336.50,69.96,,,False,
R000100.01,100,2026-03-01 19:57:00,2026-03-01 20:24:00,Paid,Takeout,,T-11,Table 11,F-001,Main Dining,,U-1004,Priya S.,,,,6,461.00,GST: $23.05,495.85,0.00,,,False,
R000101.01,101,2026-03-01 19:23:00,2026-03-01 20:03:00,Paid,Dine-In,,T-08,Table 8,F-001,Main Dining,,U-1005,Dylan R.,,,,2,222.00,GST: $11.10,243.00,55.50,,,False,
R000102.01,102,2026-03-01 19:11:00,2026-03-01 20:10:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1004,Priya S.,C-0107,Carmen Rogers,carmen.rogers38@yahoo.ca,2,141.00,GST: $7.05,153.05,25.38,,,False,
R000103.01,103,2026-03-01 19:16:00,2026-03-01 20:13:00,Voided,Dine-In,Voided,T-16,Patio 2,F-002,Patio,,U-1001,Sarah M.,,,,1,74.00,GST: $3.70,79.50,0.00,,,False,
R000104.01,104,2026-03-02 12:12:00,2026-03-02 13:49:00,Paid,Dine-In,,T-12,Table 12,F-001,Main Dining,,U-1006,Olivia C.,,,,6,403.00,GST: $20.15,432.65,60.45,,,False,
R000105.01,105,2026-03-02 12:31:00,2026-03-02 13:40:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1003,Mika T.,,,,2,109.65,GST: $5.48,118.70,21.93,,,False,
R000106.01,106,2026-03-02 13:07:00,2026-03-02 14:46:00,Paid,Dine-In,,T-12,Table 12,F-001,Main Dining,,U-1004,Priya S.,,,,5,362.00,GST: $18.10,387.50,54.30,,,False,
R000107.01,107,2026-03-02 13:18:00,2026-03-02 14:03:00,Paid,Dine-In,,T-05,Table 5,F-001,Main Dining,,U-1002,James L.,C-0127,Lauren Turner,lauren.turner14@hotmail.com,2,79.00,GST: $3.95,82.95,15.80,,,False,
R000108.01,108,2026-03-02 12:25:00,2026-03-02 13:15:00,Paid,Dine-In,,T-21,Bar 1,F-003,Bar,,U-1006,Olivia C.,,,,2,195.00,GST: $9.75,207.65,29.25,,,False,
R000109.01,109,2026-03-02 11:30:00,2026-03-02 12:17:00,Paid,Dine-In,,T-13,Table 13,F-001,Main Dining,,U-1001,Sarah M.,C-0148,Amanda Collins,amanda.collins37@yahoo.ca,2,107.00,GST: $5.35,114.15,23.54,,,False,
R000110.01,110,2026-03-02 13:13:00,2026-03-02 14:13:00,Paid,Dine-In,,T-03,Table 3,F-001,Main Dining,,U-1006,Olivia C.,,,,2,67.00,GST: $3.35,70.35,13.40,,,False,
R000111.01,111,2026-03-02 11:43:00,2026-03-02 13:02:00,Paid,Dine-In,,T-23,Bar 3,F-003,Bar,,U-1002,James L.,,,,2,145.00,GST: $7.25,154.75,26.10,,,False,
R000112.01,112,2026-03-02 13:22:00,2026-03-02 14:21:00,Paid,Dine-In,,T-13,Table 13,F-001,Main Dining,,U-1002,James L.,,,,2,154.00,GST: $7.70,168.50,33.88,,,False,
R000113.01,113,2026-03-02 12:04:00,2026-03-02 13:06:00,Paid,Dine-In,,T-22,Bar 2,F-003,Bar,,U-1005,Dylan R.,,,,2,133.00,GST: $6.65,144.95,19.95,,,False,
R000114.01,114,2026-03-02 13:10:00,2026-03-02 13:55:00,Paid,Dine-In,,T-02,Table 2,F-001,Main Dining,,U-1003,Mika T.,,,,2,142.00,GST: $7.10,153.50,31.24,,,False,
R000115.01,115,2026-03-02 11:46:00,2026-03-02 12:35:00,Paid,Dine-In,,T-10,Table 10,F-001,Main Dining,,U-1005,Dylan R.,,,,2,103.00,GST: $5.15,109.05,20.60,,,False,
R000116.01,116,2026-03-02 12:49:00,2026-03-02 13:39:00,Paid,Dine-In,,T-24,Bar 4,F-003,Bar,,U-1001,Sarah M.,,,,2,176.00,GST: $8.80,187.20,31.68,,,False,
R000117.01,117,2026-03-02 12:35:00,2026-03-02 12:51:00,Paid,Takeout,,T-07,Table 7,F-001,Main Dining,,U-1006,Olivia C.,,,,2,95.00,GST: $4.75,99.75,0.00,,,False,
R000118.01,118,2026-03-02 11:33:00,2026-03-02 12:39:00,Paid,Dine-In,,T-15,Patio 1,F-002,Patio,,U-1005,Dylan R.,,,,4,259.00,GST: $12.95,275.35,38.85,,,False,
