Date,Transaction_ID,Payment_ID,Event_Type,Location,Source,Customer_Name,Customer_ID,Device_Name,Team_Member,Gross_Sales,Discounts,Net_Sales,Tax,Tip,Total_Collected,Fees,Net_Total,Payment_Method,Card_Entry_Method,Card_Last_4,Cash_Rounding,Order_Type
2026-02-01 12:30:52,933EF8A27FA541B9B8,933EF8A27FA541B9B8,Payment,Main Dining,Square POS,,,Dining Room POS 1,Priya K.,39.00,0.00,39.00,4.68,3.90,47.58,-1.36,46.22,Interac Debit,Tap,4728,0.00,Takeout
2026-02-01 12:34:21,B99D8118144C41EF8C,B99D8118144C41EF8C,Payment,Main Dining,Square POS,,,Host Stand,James L.,139.00,0.00,139.00,16.68,20.85,176.53,-4.78,171.75,Visa,Chip,8204,0.00,Dine-In
2026-02-01 12:42:30,3871AC8DB752468AA7,3871AC8DB752468AA7,Payment,Main Dining,Square Online,,,Dining Room POS 1,Emma W.,99.00,0.00,99.00,11.88,0.00,110.88,-3.04,107.84,Mastercard,Chip,5715,0.00,Delivery
2026-02-01 12:44:57,F71C4EEF430F41DB96,F71C4EEF430F41DB96,Payment,Main Dining,Square POS,,,Host Stand,Priya K.,130.00,0.00,130.00,15.60,26.00,171.60,-4.65,166.95,Mastercard,Chip,1402,0.00,Dine-In
2026-02-01 13:00:18,89E480F737804F69A7,89E480F737804F69A7,Payment,Main Dining,Square POS,,,Host Stand,James L.,39.00,0.00,39.00,4.68,5.85,49.53,-1.41,48.12,Mastercard,Chip,5911,0.00,Dine-In
2026-02-01 13:04:56,5655D275E0C14BE186,5655D275E0C14BE186,Payment,Main Dining,Square POS,Mason Tanaka,728BE9EB00,Dining Room POS 1,James L.,60.00,0.00,60.00,7.20,6.00,73.20,-2.04,71.16,Mastercard,Tap,3466,0.00,Takeout
2026-02-01 13:06:43,5AD2754D95B34BBB9A,5AD2754D95B34BBB9A,Payment,Main Dining,Square POS,,,Dining Room POS 1,Sarah M.,149.50,0.00,149.50,17.94,37.38,204.82,-5.53,199.29,Gift Card,,,0.00,Dine-In
2026-02-01 13:12:07,90384F950B6F4B66A9,90384F950B6F4B66A9,Payment,Main Dining,Square POS,,,Dining Room POS 1,Priya K.,73.00,0.00,73.00,8.76,7.30,89.06,-2.46,86.60,Interac Debit,Tap,9335,0.00,Takeout
2026-02-01 13:15:28,6069DB2FABC84AFCB1,6069DB2FABC84AFCB1,Payment,Main Dining,Square POS,,,Dining Room POS 2,Leo C.,157.00,0.00,157.00,18.84,31.40,207.24,0.00,207.23,Cash,,,-0.01,Dine-In
2026-02-01 13:23:03,B91FBB5F1F2D454E9B,B91FBB5F1F2D454E9B,Payment,Main Dining,Square POS,Ava Choi,39D026936B,Dining Room POS 1,Priya K.,122.00,0.00,122.00,14.64,6.10,142.74,-3.88,138.86,Visa,Tap,5914,0.00,Takeout
2026-02-01 13:34:13,D7E18B21F0D84169AE,D7E18B21F0D84169AE,Payment,Main Dining,Square POS,Ken Jackson,1F34722F54,Dining Room POS 1,Leo C.,173.50,0.00,173.50,20.82,26.02,220.34,0.00,220.33,Cash,,,-0.01,Takeout
2026-02-01 13:39:11,4D96248E26684E63A7,4D96248E26684E63A7,Payment,Main Dining,Square POS,Emily Thomas,2160C46E4B,Host Stand,Marcus T.,159.00,0.00,159.00,19.08,31.80,209.88,-5.66,204.22,Visa,Chip,9281,0.00,Dine-In
2026-02-01 13:43:31,EEBB6BB4DF804DF881,EEBB6BB4DF804DF881,Payment,Main Dining,Square POS,Ryan Park,457ED9E1E6,Dining Room POS 1,Priya K.,59.00,0.00,59.00,7.08,8.85,74.93,-2.09,72.84,Visa,Chip,9880,0.00,Dine-In
2026-02-01 13:58:15,F15507ACDD1D47B9AD,F15507ACDD1D47B9AD,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,195.00,0.00,195.00,23.40,0.00,218.40,-5.89,212.51,Mastercard,Tap,9180,0.00,Takeout
2026-02-01 17:03:44,4A09DDAA7112404E97,4A09DDAA7112404E97,Payment,Main Dining,Square POS,,,Dining Room POS 2,Marcus T.,141.00,0.00,141.00,16.92,35.25,193.17,-5.22,187.95,Visa,Chip,5839,0.00,Dine-In
2026-02-01 17:17:49,CF80D20762104F3D88,CF80D20762104F3D88,Payment,Main Dining,Square POS,,,Bar Terminal,Priya K.,95.00,0.00,95.00,11.40,19.00,125.40,-3.42,121.98,Mastercard,Chip,2917,0.00,Dine-In
2026-02-01 17:18:55,E446D39D19D3401097,E446D39D19D3401097,Payment,Main Dining,Square POS,,,Dining Room POS 2,Priya K.,163.00,0.00,163.00,19.56,40.75,223.31,-6.02,217.29,Visa,Chip,7436,0.00,Dine-In
2026-02-01 17:20:16,0E044007CA634633A7,0E044007CA634633A7,Payment,Main Dining,Square POS,Sophia Garcia,43D61EAD92,Dining Room POS 1,Marcus T.,302.50,0.00,302.50,36.30,54.45,393.25,-10.52,382.73,Interac Debit,Tap,2584,0.00,Dine-In
2026-02-01 17:29:45,C58B73F2020A47BE8F,C58B73F2020A47BE8F,Payment,Main Dining,Square POS,Liam Martin,A1483BD4A3,Dining Room POS 1,Emma W.,127.50,0.00,127.50,15.30,19.12,161.92,-4.39,157.53,Visa,Tap,9740,0.00,Takeout
2026-02-01 17:35:31,20C2023BDA0A47C4A6,20C2023BDA0A47C4A6,Payment,Main Dining,Square POS,Harper Moore,35F3FB54C0,Dining Room POS 1,Priya K.,191.50,0.00,191.50,22.98,28.72,243.20,-6.54,236.66,Interac Debit,Tap,3996,0.00,Dine-In
2026-02-01 17:36:49,6BB44618847D4C8B81,6BB44618847D4C8B81,Payment,Main Dining,Square Online,Wei Martin,803761C910,Dining Room POS 1,Leo C.,158.50,0.00,158.50,19.02,0.00,177.52,0.00,177.50,Cash,,,-0.02,Delivery
2026-02-01 17:43:00,5B91E7D76D33423FA5,5B91E7D76D33423FA5,Payment,Main Dining,Square POS,,,Dining Room POS 1,Priya K.,215.50,0.00,215.50,25.86,43.10,284.46,-7.64,276.82,Mastercard,Tap,1785,0.00,Dine-In
2026-02-01 17:45:33,5155CF81F896498DAD,5155CF81F896498DAD,Payment,Main Dining,Square POS,Ken Jackson,1F34722F54,Dining Room POS 2,Emma W.,188.00,0.00,188.00,22.56,33.84,244.40,-6.58,237.82,Visa,Chip,8848,0.00,Dine-In
2026-02-01 17:46:24,2D8F0CFEF473442A97,2D8F0CFEF473442A97,Payment,Main Dining,Square POS,Yuki Lee,B2300205F9,Dining Room POS 2,James L.,210.00,0.00,210.00,25.20,42.00,277.20,-7.45,269.75,Visa,Chip,5485,0.00,Dine-In
2026-02-01 17:56:26,F1901AF0F5A2443D89,F1901AF0F5A2443D89,Payment,Main Dining,Square POS,Mason Kim,CCAE222619,Host Stand,Emma W.,123.00,0.00,123.00,14.76,24.60,162.36,-4.40,157.96,Mastercard,Tap,2226,0.00,Dine-In
2026-02-01 17:57:51,CB762E1C2FA64297B5,CB762E1C2FA64297B5,Payment,Main Dining,Square Online,,,Dining Room POS 1,Leo C.,173.00,0.00,173.00,20.76,0.00,193.76,-5.23,188.53,Visa,Chip,1011,0.00,Delivery
2026-02-01 18:00:02,30B52EDCCE5547FCBE,30B52EDCCE5547FCBE,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,230.00,0.00,230.00,27.60,23.00,280.60,-7.54,273.06,Visa,Chip,5510,0.00,Takeout
2026-02-01 18:06:08,DC0D2F2ED0EA4D1BAB,DC0D2F2ED0EA4D1BAB,Payment,Main Dining,Square POS,,,Dining Room POS 2,Emma W.,86.00,0.00,86.00,10.32,18.92,115.24,-3.15,112.09,Visa,Chip,7767,0.00,Dine-In
2026-02-01 18:08:02,4A9AE77EFCE1487CB0,4A9AE77EFCE1487CB0,Payment,Main Dining,Square POS,,,Dining Room POS 1,Marcus T.,108.50,0.00,108.50,13.02,5.43,126.95,-3.46,123.49,Visa,Tap,2641,0.00,Takeout
2026-02-01 18:08:19,3B6A1497EFE74AA9BF,3B6A1497EFE74AA9BF,Payment,Main Dining,Square POS,Sophia Moore,FD755E79F6,Dining Room POS 2,Sarah M.,319.00,0.00,319.00,38.28,70.18,427.46,-11.43,416.03,Amex,Tap,8767,0.00,Dine-In
2026-02-01 18:08:47,8D29C0143D144BF3BB,8D29C0143D144BF3BB,Payment,Main Dining,Square POS,,,Dining Room POS 2,Emma W.,78.00,0.00,78.00,9.36,15.60,102.96,0.00,102.96,Cash,,,0.00,Dine-In
2026-02-01 18:26:56,3AC005D3FF7D45F797,3AC005D3FF7D45F797,Payment,Main Dining,Square POS,Wei Smith,C640CD2998,Bar Terminal,James L.,217.00,0.00,217.00,26.04,39.06,282.10,-7.58,274.52,Visa,Chip,4558,0.00,Dine-In
2026-02-01 18:38:51,2AEE6633DBBA435EAE,2AEE6633DBBA435EAE,Payment,Main Dining,Square POS,Ryan Johnson,6F396A4712,Dining Room POS 1,Leo C.,23.00,0.00,23.00,2.76,2.30,28.06,0.00,28.07,Cash,,,0.01,Takeout
2026-02-01 18:40:51,EC98EE96389743CE81,EC98EE96389743CE81,Payment,Main Dining,Square POS,,,Host Stand,James L.,171.00,0.00,171.00,20.52,42.75,234.27,-6.31,227.96,Visa,Tap,2381,0.00,Dine-In
2026-02-01 18:41:38,E321022E0D894BF08F,E321022E0D894BF08F,Payment,Main Dining,Square POS,Harpreet Wilson,9E07BA6FB4,Host Stand,Leo C.,93.00,0.00,93.00,11.16,23.25,127.41,-3.48,123.93,Mastercard,Tap,6993,0.00,Dine-In
2026-02-01 18:52:16,0956F03E9476499880,0956F03E9476499880,Payment,Main Dining,Square POS,,,Dining Room POS 2,James L.,133.00,0.00,133.00,15.96,29.26,178.22,-4.82,173.40,Visa,Chip,8598,0.00,Dine-In
2026-02-01 18:57:49,3BD699973E344CCFBD,3BD699973E344CCFBD,Payment,Main Dining,Square POS,,,Bar Terminal,James L.,122.00,0.00,122.00,14.64,26.84,163.48,0.00,163.46,Cash,,,-0.02,Dine-In
2026-02-01 18:58:11,608AC8F30A9B45839E,608AC8F30A9B45839E,Payment,Main Dining,Square POS,Mia Wang,0A32E30F1C,Dining Room POS 1,Emma W.,127.00,0.00,127.00,15.24,6.35,148.59,-4.04,144.55,Visa,Chip,4588,0.00,Takeout
2026-02-01 18:58:40,070F82C3EB5548D4BE,070F82C3EB5548D4BE,Payment,Main Dining,Square POS,,,Dining Room POS 1,Leo C.,283.00,0.00,283.00,33.96,50.94,367.90,-9.85,358.05,Visa,Chip,1144,0.00,Dine-In
2026-02-01 19:14:15,4495D46B55754237BD,4495D46B55754237BD,Payment,Main Dining,Square POS,,,Bar Terminal,Priya K.,221.00,0.00,221.00,26.52,48.62,296.14,-7.95,288.19,Mastercard,Tap,9981,0.00,Dine-In
2026-02-01 19:15:21,001F4A646DA7418A81,001F4A646DA7418A81,Payment,Main Dining,Square POS,,,Dining Room POS 1,James L.,272.50,0.00,272.50,32.70,54.50,359.70,0.00,359.71,Cash,,,0.01,Dine-In
2026-02-01 19:16:37,82378C3D10B7434BA8,82378C3D10B7434BA8,Payment,Main Dining,Square POS,,,Dining Room POS 2,Marcus T.,47.00,0.00,47.00,5.64,10.34,62.98,-1.77,61.21,Gift Card,,,0.00,Dine-In
2026-02-01 19:22:13,0654B091B54A4CDD86,0654B091B54A4CDD86,Payment,Main Dining,Square POS,,,Dining Room POS 1,Emma W.,184.00,0.00,184.00,22.08,9.20,215.28,-5.80,209.48,Visa,Tap,1887,0.00,Takeout
2026-02-01 19:26:23,9FC2413147E14506AB,9FC2413147E14506AB,Payment,Main Dining,Square POS,,,Dining Room POS 2,Emma W.,113.00,0.00,113.00,13.56,20.34,146.90,0.00,146.88,Cash,,,-0.02,Dine-In
2026-02-01 19:28:15,B66D114C57744E8EA2,B66D114C57744E8EA2,Payment,Main Dining,Square POS,,,Dining Room POS 1,James L.,180.50,0.00,180.50,21.66,18.05,220.21,-5.94,214.27,Mastercard,Tap,3519,0.00,Takeout
2026-02-01 19:28:28,E04928EB6C4745909C,E04928EB6C4745909C,Payment,Main Dining,Square POS,,,Dining Room POS 1,Sarah M.,266.00,0.00,266.00,31.92,39.90,337.82,-9.05,328.77,Visa,Tap,1187,0.00,Takeout
2026-02-01 19:39:12,EA9B6DE93BE943689B,EA9B6DE93BE943689B,Payment,Main Dining,Square POS,James Anderson,B4E2835CED,Dining Room POS 2,Emma W.,51.50,0.00,51.50,6.18,7.72,65.40,-1.83,63.57,Amex,Chip,9328,0.00,Dine-In
2026-02-01 19:44:51,CF79BCB605AB4023A4,CF79BCB605AB4023A4,Payment,Main Dining,Square POS,Wei Taylor,2120300D3F,Dining Room POS 1,Sarah M.,129.50,0.00,129.50,15.54,23.31,168.35,0.00,168.35,Cash,,,0.00,Dine-In
2026-02-01 19:46:45,5237A1FCD8964417A8,5237A1FCD8964417A8,Payment,Main Dining,Square POS,,,Bar Terminal,James L.,91.00,0.00,91.00,10.92,16.38,118.30,-3.23,115.07,Visa,Chip,7889,0.00,Dine-In
2026-02-01 19:47:04,D262CEE123FE43F8A1,D262CEE123FE43F8A1,Payment,Main Dining,Square Online,Grace Liu,C4D59A8EA3,Dining Room POS 1,Marcus T.,148.00,0.00,148.00,17.76,0.00,165.76,-4.49,161.27,Visa,Tap,5831,0.00,Delivery
2026-02-01 19:49:27,02CCDC3110624B1B90,02CCDC3110624B1B90,Payment,Main Dining,Square POS,,,Dining Room POS 1,Marcus T.,123.50,0.00,123.50,14.82,27.17,165.49,0.00,165.49,Cash,,,0.00,Dine-In
2026-02-01 19:51:34,5E7C8982FBEB4D6BB2,5E7C8982FBEB4D6BB2,Payment,Main Dining,Square POS,,,Dining Room POS 2,Marcus T.,109.00,0.00,109.00,13.08,19.62,141.70,-3.86,137.84,Gift Card,,,0.00,Dine-In
2026-02-01 19:54:25,B822E0B9424548F182,B822E0B9424548F182,Payment,Main Dining,Square Online,Chloe Brown,34B9D77BBD,Dining Room POS 1,James L.,141.00,0.00,141.00,16.92,0.00,157.92,-4.28,153.64,Interac Debit,Tap,1983,0.00,Delivery
2026-02-01 19:55:45,109C327944EE4B9A97,109C327944EE4B9A97,Payment,Main Dining,Square POS,Michael Kaur,46F5BB29A0,Dining Room POS 2,Sarah M.,93.00,0.00,93.00,11.16,20.46,124.62,-3.40,121.22,Interac Debit,Tap,9700,0.00,Dine-In
2026-02-01 19:58:39,E88DACCBB73F475DA3,E88DACCBB73F475DA3,Payment,Main Dining,Square Online,,,Dining Room POS 1,Emma W.,84.00,0.00,84.00,10.08,0.00,94.08,-2.59,91.49,Visa,Tap,8157,0.00,Delivery
2026-02-01 20:03:19,38494BFBC962467E96,38494BFBC962467E96,Payment,Main Dining,Square POS,,,Dining Room POS 1,Marcus T.,218.00,0.00,218.00,26.16,43.60,287.76,-7.73,280.03,Visa,Tap,4970,0.00,Dine-In
2026-02-01 20:19:50,62156677A6FF4A498B,62156677A6FF4A498B,Payment,Main Dining,Square POS,,,Host Stand,Emma W.,187.00,0.00,187.00,22.44,33.66,243.10,-6.54,236.56,Visa,Chip,2960,0.00,Dine-In
2026-02-01 20:25:29,EEBF3AFD629A4099B3,EEBF3AFD629A4099B3,Payment,Main Dining,Square POS,,,Host Stand,Emma W.,104.00,0.00,104.00,12.48,20.80,137.28,0.00,137.29,Cash,,,0.01,Dine-In
2026-02-01 20:41:20,1D9E4284ED844F1D9D,1D9E4284ED844F1D9D,Payment,Main Dining,Square POS,Ethan Jones,316E541674,Dining Room POS 2,Leo C.,75.00,0.00,75.00,9.00,15.00,99.00,-2.72,96.28,Mastercard,Tap,9129,0.00,Dine-In
2026-02-01 20:44:42,4A0F0B78D1774D4884,4A0F0B78D1774D4884,Payment,Main Dining,Square POS,,,Bar Terminal,Emma W.,78.00,0.00,78.00,9.36,15.60,102.96,-2.83,100.13,Mastercard,Tap,7145,0.00,Dine-In
2026-02-01 20:50:44,3B942B93C1974F08AD,3B942B93C1974F08AD,Payment,Main Dining,Square POS,,,Dining Room POS 1,Sarah M.,207.50,0.00,207.50,24.90,20.75,253.15,-6.81,246.34,Visa,Tap,3579,0.00,Takeout
2026-02-01 20:51:00,C5EC065600554F08B1,C5EC065600554F08B1,Payment,Main Dining,Square POS,,,Host Stand,James L.,146.50,0.00,146.50,17.58,29.30,193.38,-5.22,188.16,Visa,Chip,4327,0.00,Dine-In
2026-02-01 20:57:41,19AB6A6F86454108A4,19AB6A6F86454108A4,Payment,Main Dining,Square POS,,,Dining Room POS 1,Marcus T.,250.50,0.00,250.50,30.06,50.10,330.66,-8.86,321.80,Mastercard,Chip,8978,0.00,Dine-In
